Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
SBCF;TANCREDO NEVES(MG, BRASIL);SBUR;MÁRIO DE ALMEIDA FRANCO(MG, BRASIL);22;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBVC;GLAUBER DE ANDRADE ROCHA(BA, BRASIL);30;0;3,33;3,33
SBCF;TANCREDO NEVES(MG, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);96;0;1,04;0
SBCF;TANCREDO NEVES(MG, BRASIL);SNBR;BARREIRAS(BA, BRASIL);16;6,25;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SNTF;TEIXEIRA DE FREITAS(BA, BRASIL);15;0;6,67;0
SBCG;CAMPO GRANDE(MS, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);21;0;0;0
SBCG;CAMPO GRANDE(MS, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);81;3,7;1,28;0
SBCG;CAMPO GRANDE(MS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);55;0;0;0
SBCH;SERAFIN ENOSS BERTASO(SC, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);22;4,55;4,76;4,76
SBCH;SERAFIN ENOSS BERTASO(SC, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);29;0;3,45;0
SBCH;SERAFIN ENOSS BERTASO(SC, BRASIL);SBSP;CONGONHAS(SP, BRASIL);13;0;0;0
SBCJ;CARAJÁS(PA, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);9;0;0;0
SBCJ;CARAJÁS(PA, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);5;0;0;0
SBCJ;CARAJÁS(PA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);17;0;0;0
SBCN;NELSON RODRIGUES GUIMARÃES(GO, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);1;100;0;0
SBCR;CORUMBÁ(MS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);11;9,09;0;0
SBCT;AFONSO PENA(PR, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);31;0;0;0
SBCT;AFONSO PENA(PR, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);3;0;0;0
SBCT;AFONSO PENA(PR, BRASIL);SBFI;CATARATAS(PR, BRASIL);28;0;3,57;3,57
SBCT;AFONSO PENA(PR, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);150;2;0;0
SBCT;AFONSO PENA(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);154;1,3;2,63;1,32
SBCT;AFONSO PENA(PR, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);10;0;0;0
SBCT;AFONSO PENA(PR, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);49;4,08;0;0
SBCT;AFONSO PENA(PR, BRASIL);SBSP;CONGONHAS(SP, BRASIL);46;0;0;0
SBCX;REGIONAL HUGO CANTERGIANI(RS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);25;0;4;0
SBCY;MARECHAL RONDON(MT, BRASIL);SBAT;PILOTO OSVALDO MARQUES DIAS(MT, BRASIL);12;0;0;0
SBCY;MARECHAL RONDON(MT, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);41;2,44;0;0
